"idformula","idherbsmed","ref"
"F00433","K00099","明趙開美刊本　影印傷寒論：石原明解題"
"F00434","K00099","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00435","K00099","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00436","K00100","現代漢方入門：毎日新聞社編，昭和46.12.5（毎日新聞社）"
"F00437","K00100","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00438","K00100","時方歌括：陳修園編著，1956年影印本（人民衛生出版社）"
"F00439","K00100","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00440","K00100","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00441","K00100","漢方処方集成：龍野一雄著，昭和26（東方医学社）"
"F00442","K00100","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00443","K00100","中国医学大辞典：謝観編著，1957.9，第5次印刷（商務印書館）"
"F00444","K00100","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00445","K00100","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00446","K00100","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00447","K00101","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00448","K00101","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00449","K00101","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00450","K00101","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00451","K00101","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00452","K00102","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00453","K00102","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00454","K00102","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00455","K00102","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00456","K00102","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00457","K00103","漢方医学処方解説：矢数道明著，昭和15.1.1（日本漢方医学会）"
"F00458","K00103","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00459","K00103","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00460","K00103","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00461","K00103","丹渓心法附餘：方廣編著，1536年刊本（中国金陵梓行）"
"F00462","K00103","増補万病回春：龔廷賢編著（医林書局出版）"
"F00463","K00103","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00464","K00103","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00465","K00104","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00466","K00104","漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）"
"F00467","K00104","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00468","K00104","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00469","K00104","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00470","K00104","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00471","K00104","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00478","K00105","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00472","K00105","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00473","K00105","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00474","K00105","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00475","K00105","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00476","K00105","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00477","K00105","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00479","K00106","漢方医学処方解説：矢数道明著，昭和15.1.1（日本漢方医学会）"
"F00480","K00106","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00481","K00106","続漢方あれこれ：大阪読売新聞社編（浪速社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00482","K00106","奇効良方：方賢編著，1959年発行（商務印書館）"
"F00483","K00106","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00484","K00106","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00485","K00106","太平恵民和剤局方：陳師文等編著，1971年発行（商務印書館香港分室）"
"F00486","K00106","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00487","K00106","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00488","K00106","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00489","K00107","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00490","K00108","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00491","K00109","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00492","K00110","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00493","K00110","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00494","K00110","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00495","K00110","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00496","K00111","薬局製剤　漢方194方の使い方：埴岡博・滝野行亮共著，昭和63.9.30（薬業時報社）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療三十年：大塚敬節著，昭和34.6.1（創元社）；漢方保険診療の実際—エキス剤を主とした：勝田正泰著，昭和55.1（パンサイエンス分室）"
"F00497","K00111","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00498","K00111","増補万病回春：龔廷賢編著（医林書局出版）"
"F00499","K00111","症例から学ぶ和漢診療学：寺澤捷年著，平成2.1（医学書院）"
"F00500","K00111","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00501","K00111","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00502","K00111","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00503","K00112","天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00507","K00113","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00508","K00113","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00509","K00113","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00510","K00113","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00511","K00113","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00512","K00113","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00513","K00113","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00504","K00113","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00505","K00113","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00506","K00113","漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00514","K00114","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00515","K00114","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00516","K00114","漢方医学：大塚敬節著，昭和43.8.20/新版漢方医学：大塚敬節著，昭和48.2.16（創元社）"
"F00517","K00114","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00518","K00114","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00519","K00114","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00520","K00114","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00521","K00114","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00522","K00114","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00523","K00114","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00531","K00115","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00524","K00115","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；漢方大医典：大塚敬節他著，昭和32.9，第1版（東都書房）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00525","K00115","臨床30年漢方百話：昭和35.12.10，矢数道明著（医道の日本社）"
"F00526","K00115","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00527","K00115","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00528","K00115","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00529","K00115","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00530","K00115","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00532","K00116","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00533","K00116","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00534","K00116","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00535","K00116","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00536","K00117","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00537","K00117","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00538","K00117","漢方処方集：龍野一雄著，昭和32.8.1（漢方書林）"
"F00539","K00117","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；漢方と民間薬百科：大塚敬節著（主婦の友社）"
"F00540","K00117","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00541","K00117","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00542","K00118","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；漢方入門講座1，増補改訂漢方入門講座上・下巻：漢方入門講座1：龍野一雄著，昭和27.12.1（東京漢方杏林会編輯部），増補改訂漢方入門講座上・下巻：龍野一雄著 ，昭和49.3.20（中国漢方医学書刊行会）；漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00543","K00118","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00544","K00118","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00545","K00118","傷寒論入門：森田幸門著，昭和33（治療研究所）"
"F00546","K00118","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；漢方の診かた治しかた：寺師睦濟著，昭和47.10.10，第4版（福村出版）"
"F00547","K00118","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00548","K00118","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00549","K00118","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00550","K00118","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00551","K00118","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00552","K00118","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00553","K00119","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00557","K00120","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00558","K00120","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00559","K00120","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00560","K00120","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00561","K00120","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00562","K00120","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00554","K00120","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00555","K00120","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00556","K00120","漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00563","K00121","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00564","K00122","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00565","K00122","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00566","K00122","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00567","K00122","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00568","K00122","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00569","K00123","漢方医学：大塚敬節著，昭和43.8.20/新版漢方医学：大塚敬節著，昭和48.2.16（創元社）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00570","K00123","漢方入門講座1，増補改訂漢方入門講座上・下巻：漢方入門講座1：龍野一雄著，昭和27.12.1（東京漢方杏林会編輯部），増補改訂漢方入門講座上・下巻：龍野一雄著 ，昭和49.3.20（中国漢方医学書刊行会）"
"F00571","K00123","漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00572","K00123","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00573","K00123","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）"
"F00574","K00123","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00575","K00123","天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00576","K00123","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00581","K00124","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00582","K00124","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00583","K00124","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00584","K00124","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00585","K00124","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00577","K00124","漢方医学：大塚敬節著，昭和43.8.20/新版漢方医学：大塚敬節著，昭和48.2.16（創元社）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00578","K00124","漢方入門講座1，増補改訂漢方入門講座上・下巻：漢方入門講座1：龍野一雄著，昭和27.12.1（東京漢方杏林会編輯部），増補改訂漢方入門講座上・下巻：龍野一雄著 ，昭和49.3.20（中国漢方医学書刊行会）"
"F00579","K00124","漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00580","K00124","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00586","K00125","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）；漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00587","K00125","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00588","K00125","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00589","K00125","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00590","K00125","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00591","K00126","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00592","K00126","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00593","K00126","漢方医学：大塚敬節著，昭和43.8.20/新版漢方医学：大塚敬節著，昭和48.2.16（創元社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00594","K00126","臨床30年漢方百話：昭和35.12.10，矢数道明著（医道の日本社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00595","K00126","漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）"
"F00596","K00126","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00597","K00126","漢方精撰百八方−その運用とかんどころ：相見三郎・石原明・伊藤清夫・大塚敬節・藤平健・矢数道明・山田光胤共著，昭和40.3.1初版（臨床漢方研究会）"
"F00598","K00126","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00599","K00126","黙堂柴田良治処方集：柴田良治著，昭和63.12（黙堂社）"
"F00600","K00126","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00601","K00126","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00605","K00127","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00606","K00127","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00607","K00127","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
