"_id","idherbsmed","name","nameloc1","nameloc2","efficacy","efficacyloc","ref","idclass","idcompany","idtype","img"
"1669","J01669","Kunci Pepet Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c332","2",""
"1670","J01670","Rahwana Dasamuka","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c332","2",""
"1671","J01671","Sehat Pria","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c332","2",""
"1672","J01672","Serbuk Cebok","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c332","2",""
"1673","J01673","Terang Bulan","","","Facilitate menstruation, body scent, refreshing and smoothing as well as streamline","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c332","2",""
"1674","J01674","Anak Sehat Rasa Coklat","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1675","J01675","Asrat","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1676","J01676","Bersalin I","","","Useful to the mother after giving birth to shrink the uterus and abdominal muscles, stimulate the workings of milk glands and restore the health and fitness)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1677","J01677","Bersalin II","","","Useful to the mother after giving birth to shrink the uterus and abdominal muscles, stimulate the workings of milk glands and restore the health and fitness)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1678","J01678","Bersalin III","","","Useful to the mother after giving birth to shrink the uterus and abdominal muscles, stimulate the workings of milk glands and restore the health and fitness)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1679","J01679","Bersalin IV","","","Useful to the mother after giving birth to shrink the uterus and abdominal muscles, stimulate the workings of milk glands and restore the health and fitness)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1680","J01680","Bersalin V","","","Useful to the mother after giving birth to shrink the uterus and abdominal muscles, stimulate the workings of milk glands and restore the health and fitness)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1681","J01681","Cipta Jahe Wangi Instant (CP-SMG)","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c333","2",""
"1682","J01682","Cipta Kunyit Asem Sirih","","","Helps reduce excessive mucus and the smell of female organs.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1683","J01683","Cipta Sari","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1684","J01684","Dewimon","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1685","J01685","Fitmaag","","","Overcome stomach ulcers","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c333","2",""
"1686","J01686","Jamu Kencar","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1687","J01687","Jamu Parem","","","Useful to the mother after giving birth to reproduce, and purify milk, so the baby will grow up healthy, fresh and plump","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1688","J01688","Kolesmin","","","Lowering cholesterol level in blood","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c333","2",""
"1689","J01689","Mahkota Dewa Instant (CP-SMG)","","","Useful in treating such diseases in the series of uric acid, high blood pressure, liver, allergies, kidneys, skin diseases and also may increase stamina and as supportive therapy in cancer.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c333","2",""
"1690","J01690","Mahkota Dewa Teh Racik","","","Useful in treating such diseases in the series of uric acid, high blood pressure, liver, allergies, kidneys, skin diseases and also may increase stamina and as supportive therapy in cancer.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c333","2",""
"1691","J01691","Minyak Kayu Putih Ambone","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1692","J01692","Minyak Telon Bebby","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c333","2",""
"1693","J01693","Nodiabes (CP-SMG)","","","For diabetes melitus","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c333","2",""
"1694","J01694","Paitan Resik Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1695","J01695","Putih Sari","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1696","J01696","Putriku","","","To maintain good health so as not lethargic, weak, tired or susceptible to disease, so it is always healthy and fresh.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1697","J01697","Semangat Baru Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1698","J01698","Si Bulan","","","Facilitate menstruation, body scent, refreshing and smoothing as well as streamline","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c333","2",""
"1699","J01699","Sri Ratu Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1700","J01700","Tampik Angin","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c333","2",""
"1701","J01701","Tujusur Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c333","2",""
"1702","J01702","Batuk Panas","","","Cure cough","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c334","2",""
"1703","J01703","Jampi Usus","","","Relieve abdominal pain, diarrhea, bloating, heartburn, normalize digestive function and strengthen the intestinal lining.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1704","J01704","Jamu Wasir","","","Cure and alleviate Hemorrhoids (piles) and varicose veins","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c334","2",""
"1705","J01705","Jerawat","","","Reduce and prevent acne","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c334","2",""
"1706","J01706","Mandar Ayu","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1707","J01707","Mandar Rosa","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1708","J01708","Pegel Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1709","J01709","Peluruh Watu","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1710","J01710","PUTIANO","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1711","J01711","Sekalor","","","Helps relieve headaches, dizzy, dizzy eyes, and blood flow throughout the body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c334","2",""
"1712","J01712","Aseannony Kapsul","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c335","2",""
"1713","J01713","Am Shhen","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c336","2",""
"1714","J01714","Jamu Kuat Bekerja","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c337","2",""
"1715","J01715","Jamu Pegal Linu (cp-smrg)","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c337","2",""
"1716","J01716","Jamu Sehat Kuat","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c337","2",""
"1717","J01717","Jamu Tahangin (Masuk Angin) (cp-smrg)","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c337","2",""
"1718","J01718","Minyak Cemceman Plus Urang-Aring","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c338","2",""
"1719","J01719","Jamu Dimas","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c339","2",""
"1720","J01720","Rheumasur","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c339","2",""
"1721","J01721","Gatul I","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1722","J01722","Jaya","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1723","J01723","Laos","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1724","J01724","Nokilo Wangi II","","","Helps reduce excessive mucus and the smell of female organs.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c340","2",""
"1725","J01725","Pusaka","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1726","J01726","Sawanan","","","Treat and prevent diseases caused by seizures in infants and small children such as boils, itch, flatulence. For babies who are breast-feeding, Herbal Sawan mother was drunk.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1727","J01727","Sehat Badan","","","Useful for maintaining health and add strength to the weak body, less blood and loss of appetite.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1728","J01728","Sehat Pencernaan","","","For healthy digestion","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c340","2",""
"1729","J01729","Sehat Tenggorokan","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1730","J01730","Simog","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1731","J01731","Simog I","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1732","J01732","Tagog","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1733","J01733","Tapak Merah","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1734","J01734","Tela Desing","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1735","J01735","Wates I","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c340","2",""
"1736","J01736","Galian Rapet","","","Pressed and reduce mucus of womanhood, prevent leucorrhoea. Sexual arousal improve and refresh the body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c341","2",""
"1737","J01737","Ma`jun","","","Increase stamina","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c341","2",""
"1738","J01738","Arat Akar Salma","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c342","2",""
"1739","J01739","Marat Rosita","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c342","2",""
"1740","J01740","Pegal Linu Sri Tanjung","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c342","2",""
"1741","J01741","Ramurat Jasem","","","Relieve pain and aching pains in the joints and arthritis due to excess uric acid in the blood.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c342","2",""
"1742","J01742","Sesak Nafas Rosita","","","Treat shortness of breath","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c342","2",""
"1743","J01743","New Jaya Guna Pegal Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c343","2",""
"1744","J01744","Pas To Pas Gemuk Sehat","","","To treat indigestion, blood circulation and increase appetite, so the body becomes fat and healthy.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c343","2",""
"1745","J01745","Pas To Pas Pegel LInu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c343","2",""
"1746","J01746","Pas To Pas Pelangsing","","","Reduce excess fat in the body, so that the body becomes lean, and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c343","2",""
"1747","J01747","Pas To Pas Sehat Pria","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c343","2",""
"1748","J01748","Samrat Serayu","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c343","2",""
"1749","J01749","Samrat Suryo","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c343","2",""
"1750","J01750","Sendi Serayu Pegal Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c343","2",""
"1751","J01751","Jamu Gemuk Sehat","","","To treat indigestion, blood circulation and increase appetite, so the body becomes fat and healthy.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c344","2",""
"1752","J01752","Jamu Sari Rapet","","","Pressed and reduce mucus of womanhood, prevent leucorrhoea. Sexual arousal improve and refresh the body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c344","2",""
"1753","J01753","Jamu Sehat Lelaki","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c344","2",""
"1754","J01754","Jamu Sehat Segar","","","Useful for maintaining health and add strength to the weak body, less blood and loss of appetite.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c344","2",""
"1755","J01755","Jamu Sesak Napas","","","Treat shortness of breath","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c344","2",""
"1756","J01756","Jayasrat","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c344","2",""
"1757","J01757","Sari Pace Plus Ginseng","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c345","2",""
"1758","J01758","Bataflu","","","Relieving influenza symptoms : fever, headaches, respiratory problem, sneeze and ease sputum excression.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c346","2",""
"1759","J01759","Benge","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c346","2",""
"1760","J01760","Lalinu","","","To cure soreness in muscles backache & weariness","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c346","2",""
"1761","J01761","Orta ( Sehat Jantung )","","","For healthy heart","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","8","c346","2",""
"1762","J01762","Segar Bugar Madu","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c346","2",""
"1763","J01763","Bo Che San","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c347","2",""
"1764","J01764","Jamu Galian Rapet K.I.I","","","Pressed and reduce mucus of womanhood, prevent leucorrhoea. Sexual arousal improve and refresh the body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c348","2",""
"1765","J01765","Amuraten (cp-smrg)","","","Relieve pain and aching pains in the joints and arthritis due to excess uric acid in the blood.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c349","2",""
"1766","J01766","Batusol","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c349","2",""
"1767","J01767","Doyanan (cp-smrg)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c349","2",""
"1768","J01768","Gulanen","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c349","2",""
"1769","J01769","Langsingvit (cp-smrg)","","","Reduce excess fat in the body, so that the body becomes lean, and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c349","2",""
"1770","J01770","Nyenyak","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c349","2",""
"1771","J01771","Rotunda (cp-smrg)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c349","2",""
"1772","J01772","Vitalisix","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c349","2",""
"1773","J01773","Ranasda","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c350","2",""
"1774","J01774","Jamu Pegel Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c351","2",""
"1775","J01775","Jamu Rukma","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c351","2",""
"1776","J01776","Lancar Haid","","","To treat pain with urination, urine launched so as to prevent occurrence of bladder stones and clean channel.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c351","2",""
"1777","J01777","Kingster","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c352","2",""
"1778","J01778","Langsing","","","Reduce excess fat in the body, so that the body becomes lean, and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c352","2",""
"1779","J01779","Maskenis","","","For diabetes melitus","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c352","2",""
"1780","J01780","Jamu Klanceng Garnis","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c353","2",""
"1781","J01781","Kunir Asem Klanceng","","","Facilitate menstruation, body scent, refreshing and smoothing as well as streamline","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c353","2",""
"1782","J01782","Sari Mahkota Dewa","","","Useful in treating such diseases in the series of uric acid, high blood pressure, liver, allergies, kidneys, skin diseases and also may increase stamina and as supportive therapy in cancer.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c353","2",""
"1783","J01783","Sirup Jahe Klanceng","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c353","2",""
"1784","J01784","Minyak Gosok Kepala Kuda","","","Relieve colds, flatulence","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c354","2",""
"1785","J01785","Pegal Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c355","2",""
"1786","J01786","Pelangsing (Cp-SBY)","","","Reduce excess fat in the body, so that the body becomes lean, and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c355","2",""
"1787","J01787","Prostrol Cap Beijing","","","Prevent and help treat prostate enlargement","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","10","c355","2",""
"1788","J01788","Sehat Lelaki (CP-SBY)","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c355","2",""
"1789","J01789","Sehat Wanita (Cp-SBY)","","","To maintain good health so as not lethargic, weak, tired or susceptible to disease, so it is always healthy and fresh.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c355","2",""
"1790","J01790","Sepas (Cp-SBY)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c355","2",""
"1791","J01791","Tensina (Cp-SBY)","","","To treat the symptoms of high blood pressure with signs: headache, dizzy eyes and blurred and palpitations.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","8","c355","2",""
"1792","J01792","Tulamb (CP-SBY)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c355","2",""
"1793","J01793","Ertik","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c356","2",""
"1794","J01794","Provit","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c356","2",""
"1795","J01795","Formula Monik Sehat","","","Useful for maintaining health and add strength to the weak body, less blood and loss of appetite.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c357","2",""
"1796","J01796","Galian Parem (CP-SMRG)","","","Useful to the mother after giving birth to reproduce, and purify milk, so the baby will grow up healthy, fresh and plump","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c357","2",""
"1797","J01797","Gatelan","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1798","J01798","Jahe Ginseng Jawa","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c357","2",""
"1799","J01799","Jahe Telor Ginseng Jawa","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c357","2",""
"1800","J01800","Jamu Galian Singset","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c357","2",""
"1801","J01801","Jamu Jerawat Putri Lestari","","","Reduce and prevent acne","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c357","2",""
"1802","J01802","Jamu Sakit Pinggang","","","Preventing and treating back pain, such as stiff, sore and painful. Smooth urination","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","17","c357","2",""
"1803","J01803","Jamu Sariawan","","","Cure ulcers with signs of: gums, tongue, lips and throat hurt and pain caused by heartburn.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1804","J01804","Jipet Wangi (CP-SMRG)","","","Helps reduce excessive mucus and the smell of female organs.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c357","2",""
"1805","J01805","Kecrati","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1806","J01806","Keji Beling","","","It is very effective in treatment of kidney stone. It cleanses the circulation of urine","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","17","c357","2",""
"1807","J01807","Kunyit Asam Plus Madu dan Sirih","","","Facilitate menstruation, body scent, refreshing and smoothing as well as streamline","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c357","2",""
"1808","J01808","Lesrat (CP-SMRG)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1809","J01809","Minyak Telon","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1810","J01810","Nonalisa","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1811","J01811","Pilis","","","Calming the mind","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","18","c357","2",""
"1812","J01812","Rebus Celup","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1813","J01813","Rebustas (CP-SMRG)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1814","J01814","Sawanan","","","Treat and prevent diseases caused by seizures in infants and small children such as boils, itch, flatulence. For babies who are breast-feeding, Herbal Sawan mother was drunk.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1815","J01815","Sehat Lelaki (CP-SMRG)","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c357","2",""
"1816","J01816","Sengkula (CP-SMRG)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c357","2",""
"1817","J01817","Wayang Pegal Linu (CP-SMRG)","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c357","2",""
"1818","J01818","Hemorest","","","Cure and alleviate Hemorrhoids (piles) and varicose veins","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c358","2",""
"1819","J01819","Obat Kulit Cap Lipan","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c358","2",""
"1820","J01820","Mahkota Dewa Nusantara","","","Useful in treating such diseases in the series of uric acid, high blood pressure, liver, allergies, kidneys, skin diseases and also may increase stamina and as supportive therapy in cancer.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c359","2",""
"1821","J01821","Sari Buah Merah","","","Antioxidants","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c360","2",""
"1822","J01822","Pegel Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c361","2",""
"1823","J01823","Minyak Kayu Putih Miracle","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c362","2",""
"1824","J01824","Minyak Telon Miracle","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c362","2",""
"1825","J01825","Pil Podosalametee","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c363","2",""
"1826","J01826","Pegal Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c364","2",""
"1827","J01827","Jamu Pegal Linu Tembok Besar","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c365","2",""
"1828","J01828","Jamu Akar Daun Binahong","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c366","2",""
"1829","J01829","Pegel Linu Kuda","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c366","2",""
"1830","J01830","Kurna","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c367","2",""
"1831","J01831","Herba Sehat","","","Useful for maintaining health and add strength to the weak body, less blood and loss of appetite.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c368","2",""
"1832","J01832","Herbaurat","","","Relieve pain and aching pains in the joints and arthritis due to excess uric acid in the blood.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c368","2",""
"1833","J01833","Langsing Plus","","","Reduce excess fat in the body, so that the body becomes lean, and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c368","2",""
"1834","J01834","Sadewatonic","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c368","2",""
"1835","J01835","Sadewatonic Junior","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c368","2",""
"1836","J01836","Batuk","","","Cure cough","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c369","2",""
"1837","J01837","Galian Parem","","","Useful to the mother after giving birth to reproduce, and purify milk, so the baby will grow up healthy, fresh and plump","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c369","2",""
"1838","J01838","Ginsa Narodo","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c369","2",""
"1839","J01839","Lancar Haid Narodo","","","To treat pain with urination, urine launched so as to prevent occurrence of bladder stones and clean channel.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","17","c369","2",""
"1840","J01840","Pangkur Narodo","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c369","2",""
