"idcrude","sname","name_en","name_loc1","name_loc2","gname","position","effect","effect_loc","comment","ref"
"S00338","Cynara scolimus Folium","Artichoke","Artichoke","","Cynara scolimus L.","Leaf","Leaves: improves liver and gall bladder function, stimulates the secretion of digestive juices, especially bile, and lowers blood cholesterol levels, treatment of chronic liver and gall bladder diseases, jaundice, hepatitis, arteriosclerosis and the early stages of late-onset diabetes.","","-","http://www.pfaf.org/database/plants.php?Cynara+scolymus"
"S00339","Cynomorium songaricum Herba","Su Yang (Juniper)","Cynomori Herba","","Cynomorium songaricum Rupr.","Herb","Aching and weakness of the loins and knees, impotence, spermatorrhea, constipation.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00340","Cyperus rotundus Bulbus","Nut Grass","Teki","","Cyperus rotundus L","Bulb","Tuber: cramps medicine, diuretic, cosmetics ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00341","Cyperus rotundus Folium","Nut Grass","Teki","","Cyperus rotundus L","Leaf","Tuber: cramps medicine, diuretic, cosmetics ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00342","Cyperus rotundus Fructus","Nut Grass","Teki","","Cyperus rotundus L","Fruit","Tuber: cramps medicine, diuretic, cosmetics ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00343","Cyperus rotundus Radix","Nut Grass","Teki","","Cyperus rotundus L","Root","Tuber: cramps medicine, diuretic, cosmetics ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00344","Cyperus rotundus Rhizoma","Nut Grass","Teki","","Cyperus rotundus L","Rhizome","Tuber: cramps medicine, diuretic, cosmetics ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00345","Datura alba Flos","Metel, Hindu Datura","Kecubung Bunga Putih","","Datura alba","Flower","Flowers: shortness of breath, menstrual pain, abdominal pain.","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00346","Datura alba Folium","Metel, Hindu Datura","Kecubung Bunga Putih","","Datura alba","Leaf","Flowers: shortness of breath, menstrual pain, abdominal pain.","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00347","Datura stramonium Folium","Jimsonweed","Kecubung Pendek","","Datura stramonium L","Leaf","Flowers and leaves: shortness of breath.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00348","Daucus carota Rhizoma","Carrot","Wortel","","Daucus carota L.","Rhizome","Tuber: high blood pressure medicine, maintain eye health.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00349","Dendrobium nobile Herba","-","Anggrek","","Dendrobium nobile Lindl","Herb","prescribed in mild fever following illness, thirst from stress, dryness of mouth and throat, flatulence, anorexia, lumbago and impotence.","","-","http://www.proseanet.org/prosea/e-prosea_detail.php?frt=&id=1050"
"S00350","Dendrophthoe pentandra Herba","-","Kemadean","","Dendrophthoe pentandra (L.) Miq.","Herb","-","","-","-"
"S00351","Desmodium styracifolium Herba","Guang Jing Qian Cao","Snowbellleaf Tickclover","","Desmodium styracifolium (Osb. ) Merr.","Herb","Urination disturbance caused by damp-heat or urolithiasis accompanied by difficult painful urination; edema with oliguria; jaundice with dark urine.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00352","Desmodium triquetrum Folium","Three-Flowered Desmodium","Daun Duduk","","Desmodium triquetrum D.C","Leaf","Leaf: hemorrhoid medicine, rheumatism, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00353","Dianthus superbus Herba","Chinese Pink","Dianthus","","Dianthus superbus L.","Herb","Leaves and flowers: diarrhea, tranquilizers, resolvent.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00354","Dictamnus dasycarpus Cortex","Burning Bush, Dittany, Gasplant","Dittany","","Dictamnus dasycarpus Turcz.","Bark","Skin inflammation with yellowisb watery discharge, eczema, rubella, tinea, scabies; acute rheumatic arthritis; jaundice with dark urine.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00355","Dioscorea hispida Fructus","Chinese Yam","Gadung","","Dioscorea hispida Dennust","Fruit","Tuber: menstrual pain medication, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00356","Dioscorea hispida Radix","Chinese Yam","Gadung","","Dioscorea hispida Dennust","Root","Tuber: menstrual pain medication, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00357","Dioscorea hispida Rhizoma","Chinese Yam","Gadung","","Dioscorea hispida Dennust","Rhizome","Tuber: menstrual pain medication, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00358","Dioscorea hispida Tubera","Chinese Yam","Gadung","","Dioscorea hispida Dennust","Tuber","Tuber: menstrual pain medication, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00359","Dioscorea opposite Radix","Chinese Yam","Gadung","","Dioscorea opposite Thunb","Root","Tuber: menstrual pain medication, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00360","Dioscorea opposite Rhizoma","Chinese Yam","Gadung","","Dioscorea opposite Thunb","Rhizome","Tuber: menstrual pain medication, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00361","Dioscorea villosa Rhizoma","Wild Yam","Ubi Rambat Liar","","Dioscorea villosa","Rhizome","Alleviate pain, colic, rheumatism, relieve from disorders marked by inflammation or pain in the connective tissue structures of the body, alleviate excruciating menstruation, ovarian pain and also during agonizing labor conditions, healing most digestive disorders, including the swelling and irritation of the gall bladder, irritable bowel syndrome and diverticulitis.","","-","www.herbs2000.com"
"S00362","Dipsacus asper Radix","Xu Duan (Teazel)","Teasel Root","","Dipsacus asper Wall","Root","As a diuretic, stimulator of sweat, soothing the stomach, purifying the system of toxins, enhancing digestion, curing diarrhea, enhances appetite, nurtures the stomach and heals the liver, treating jaundice and gallbladder.","","-","www.herbs2000.com"
"S00363","Drynaria sparsisora Rhizoma","-","Simbar Layangan","","Drynaria sparsisora Moore","Rhizome","Roots: eye pain medicine, diarrhea.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00364","Echinacea angustifolia Folium","Echinacea, Purple Coneflower","Ekinasea","","Echinacea angustifolia","Leaf","Toothaches, sore throats, treatment of rabies, snakebite, and for all septic conditions arising from injury, enhance and boost immune system, anti-viral, anti-allergenic, anti-tumor, tonsillitis, the common colds, the flu, and various other chest infections, treatment of asthma, and other viral diseases like the glandular fever, treatment of candidiasis, suppress post-viral fatigue syndrome, arthritis and gout, inflammatory conditions affecting the reproductive system in women.","","-","www.herbs2000.com"
"S00365","Echinacea angustifolia Herba","Echinacea, Purple Coneflower","Ekinasea","","Echinacea angustifolia","Herb","Toothaches, sore throats, treatment of rabies, snakebite, and for all septic conditions arising from injury, enhance and boost immune system, anti-viral, anti-allergenic, anti-tumor, tonsillitis, the common colds, the flu, and various other chest infections, treatment of asthma, and other viral diseases like the glandular fever, treatment of candidiasis, suppress post-viral fatigue syndrome, arthritis and gout, inflammatory conditions affecting the reproductive system in women.","","-","www.herbs2000.com"
"S00366","Echinacea angustifolia Radix","Echinacea, Purple Coneflower","Ekinasea","","Echinacea angustifolia","Root","Toothaches, sore throats, treatment of rabies, snakebite, and for all septic conditions arising from injury, enhance and boost immune system, anti-viral, anti-allergenic, anti-tumor, tonsillitis, the common colds, the flu, and various other chest infections, treatment of asthma, and other viral diseases like the glandular fever, treatment of candidiasis, suppress post-viral fatigue syndrome, arthritis and gout, inflammatory conditions affecting the reproductive system in women.","","-","www.herbs2000.com"
"S00367","Echinacea purpurea Herba","Echinacea, Purple Coneflower","Ekinasea","","Echinacea purpurea","Herb","Toothaches, sore throats, treatment of rabies, snakebite, and for all septic conditions arising from injury, enhance and boost immune system, anti-viral, anti-allergenic, anti-tumor, tonsillitis, the common colds, the flu, and various other chest infections, treatment of asthma, and other viral diseases like the glandular fever, treatment of candidiasis, suppress post-viral fatigue syndrome, arthritis and gout, inflammatory conditions affecting the reproductive system in women.","","-","www.herbs2000.com"
"S00368","Echinacea purpurea Radix","Echinacea, Purple Coneflower","Ekinasea","","Echinacea purpurea","Root","Toothaches, sore throats, treatment of rabies, snakebite, and for all septic conditions arising from injury, enhance and boost immune system, anti-viral, anti-allergenic, anti-tumor, tonsillitis, the common colds, the flu, and various other chest infections, treatment of asthma, and other viral diseases like the glandular fever, treatment of candidiasis, suppress post-viral fatigue syndrome, arthritis and gout, inflammatory conditions affecting the reproductive system in women.","","-","www.herbs2000.com"
"S00369","Eclipta alba Folium","Eclipta","Orang-aring","","Eclipta alba L. Hassk.","Leaf","Leaf: hair fertilizer, toothache, shortness of breath, ringworm.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00370","Eclipta alba Oleum","Eclipta","Orang-aring","","Eclipta alba L. Hassk.","Oil","Leaf: hair fertilizer, toothache, shortness of breath, ringworm.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00371","Eclipta prostrata Folium","Eclipta","Orang-aring","","Eclipta prostrata L.","Leaf","Stems and leaves: upset stomach, malaria.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00372","Eclipta prostrata Herba","Eclipta","Orang-aring","","Eclipta prostrata L.","Herb","Stems and leaves: upset stomach, malaria.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00373","Elaeis guineensis Oleum","-","Kelapa Sawit","","Elaeis guineensis jacg","Oil","-","","-","-"
"S00374","Elaeocarpus ganitrus Semen","Utrasum Bead","Jenetri","","Elaeocarpus ganitrus Roxb.","Seed","Fruit: slimming, tanner materials.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00375","Elaeocarpus grandiflora Fructus","-","Anyang-anyang","","Elaeocarpus grandiflora J. E. Smith","Fruit","Fruit: diuretic. Young leaves: drug ulcers and ulcer pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00376","Elaeocarpus grandiflora Lignum","-","Anyang-anyang","","Elaeocarpus grandiflora J. E. Smith","Wood","Fruit: diuretic. Young leaves: drug ulcers and ulcer pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00377","Elephantopus scaber Folium","Tian Ja Cai (Rough Elephant'S Foot)","Tapak Liman","","Elephantopus scaber L.","Leaf","Leaf: diarrhea medicine, cough, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00378","Elephantopus scaber Fructus","Tian Ja Cai (Rough Elephant'S Foot)","Tapak Liman","","Elephantopus scaber L.","Fruit","Leaf: diarrhea medicine, cough, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00379","Elephantopus scaber Herba","Tian Ja Cai (Rough Elephant'S Foot)","Tapak Liman","","Elephantopus scaber L.","Herb","Leaf: diarrhea medicine, cough, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00380","Elephantopus scaber Radix","Tian Ja Cai (Rough Elephant'S Foot)","Tapak Liman","","Elephantopus scaber L.","Root","Leaf: diarrhea medicine, cough, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00381","Elettaria cardamomum Fructus","Cardamom","Kapulaga sabrang","","Elettaria cardamomum (L.) Maton","Fruit","Fruit: belly salve, spices, cosmetics.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00382","Elettaria speciosa Flos","-","Kecombrang","","Elettaria speciosa Blume","Flower","Flowers: body odor remover, reproduce asi, blood purifier.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00383","Eleutherine americana Bulbus","-","Bawang Sabrang","","Eleutherine americana Merr.","Bulb","Tuber: constipation, diuretic, cathartic, stimulating vomiting. Leaf: mothers drink childbed.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00384","Eleutherococcus senticosus Radix","Siberian Ginseng","Ginseng Siberia","","Eleutherococcus senticosus Rupr. & Maxim.","Root","As a rejuvenating and strengthening","","-","www.herbs2000.com"
"S00385","Elsholtzia splendens Herba","Shiny Elsholtzia","Shiny Elsholtzia","","Elsholtzia splendens Nakai et F.Maek.","Herb","INDICATIONS: nausea and vomiting; bloating; summer heat and chills; damp, peeling feet.","","-","http://www.chinese-herbs.com/store/page45.html"
"S00386","Entada scandens Semen","-","Kara Bendo","","Entada scandens Benth.","Seed","Seed: drug fever and boils.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00387","Epimedium brevicornum Herba","Horny Goat Weed, Barrenwort, Yinyanghuo","Yin Yang Huo","","Epimedium brevicornum Maxim","Herb","Impotence, seminal emission, weakness of the limbs; rheumatic or rheumatoid arthralgia with numbness and muscle contracture; climacteric hypertension","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00388","Epimedium grandiflorum Herba","Horny Goat Weed, Barrenwort, Yinyanghuo","Yin Yang Huo","","Epimedium grandiflorum","Herb","Impotence, seminal emission, weakness of the limbs; rheumatic or rheumatoid arthralgia with numbness and muscle contracture; climacteric hypertension","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00389","Epimedium sagittatum Herba","Horny Goat Weed, Barrenwort, Yinyanghuo","Yin Yang Huo","","Epimedium sagittatum (Sieb. et Zucc. ) Maxim","Herb","Impotence, seminal emission, weakness of the limbs; rheumatic or rheumatoid arthralgia with numbness and muscle contracture; climacteric hypertension","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00390","Equisetum debile Herba","-","Greges Otot","","Equisetum debile Roxb.","Herb","All plant: diuretic, diarrhea medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00391","Eriobotrya japonica Folium","Loquat","Lokwat","","Eriobotrya japonica (Thunb.)Lindl.","Leaf","Flowers: cough medicine, asthma. Leaf: diarrhea medicine. Fruit: fever, cramp relief.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00392","Erythrina hypaphorus Folium","-","Dadap Serep","","Erythrina hypaphorus Boerl.","Leaf","Leaf: childbed fever, lactagoga.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00393","Erythrina variegata Folium","-","Dadap Ayam","","Erythrina variegata L.","Leaf","Leaf: menstrual pain medication.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00394","Erythroxylum catuaba Cortex","Catuaba","Catuaba","","Erythroxylum catuaba","Bark","Aphrodisiac, to treat impotence and prostatitis in men.","","-","www.herbs2000.com"
"S00395","Eucalyptus alba Flos","Cajuput","Kayu putih","","Eucalyptus alba Reinw","Flower","Fruit: belly salve. Leaf oil: liniment, cough.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00396","Eucalyptus alba Fructus","Cajuput","Kayu putih","","Eucalyptus alba Reinw","Fruit","Fruit: belly salve. Leaf oil: liniment, cough.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00397","Eucalyptus alba Oleum","Cajuput","Kayu putih","","Eucalyptus alba Reinw","Oil","Fruit: belly salve. Leaf oil: liniment, cough.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00398","Eucheuma cottoni Thallus","Agar","Rumput Laut","","Eucheuma cottoni","Thallus","Anticancer, antioxidant, prevents cardiovascular, fiber.","","-","http://www.iptek.net.id/ind/pd_alga/"
"S00399","Eucheuma spinosum Thallus","Agar","Rumput Laut","","Eucheuma spinosum","Thallus","Anticancer, antioxidant, prevents cardiovascular, fiber.","","-","http://www.iptek.net.id/ind/pd_alga/"
"S00400","Euchresta horsfieldii Fructus","-","Prana Jiwa","","Euchresta horsfieldii (Lesch.) Benn.","Fruit","Seed: blood cough medicine, amplifier lust, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00401","Euchresta horsfieldii Semen","-","Prana Jiwa","","Euchresta horsfieldii (Lesch.) Benn.","Seed","Seed: blood cough medicine, amplifier lust, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00402","Eucommia ulmoides Cortex","Du Zhong, Gutta-Percha Tree","Du Zhong","","Eucommia ulmoides","Bark","Deficiency condition of the kidney marked by lumbago and lack of strength;threatened abortion; hypertension.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00403","Eucommia ulmoides Radix","Du Zhong, Gutta-Percha Tree","Du Zhong","","Eucommia ulmoides","Root","Deficiency condition of the kidney marked by lumbago and lack of strength;threatened abortion; hypertension.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00404","Eugenia aromatica Flos","Cloves","Cengkeh","","Eugenia aromatica O.K","Flower","Flowers: belly salve, cough, cavities pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00405","Eugenia aromatica Folium","Cloves","Cengkeh","","Eugenia aromatica O.K","Leaf","Flowers: belly salve, cough, cavities pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00406","Eugenia aromatica Fructus","Cloves","Cengkeh","","Eugenia aromatica O.K","Fruit","Flowers: belly salve, cough, cavities pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00407","Eugenia aromatica Oleum","Cloves","Cengkeh","","Eugenia aromatica O.K","Oil","Flowers: belly salve, cough, cavities pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00408","Eugenia caryophyllata Fructus","Cloves","Cengkeh","","Eugenia caryophyllata Thunb","Fruit","Flowers: belly salve, cough, cavities pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00409","Eugenia cumini Fructus","Java Plum","Jamblang","","Eugenia cumini Merr","Fruit","Fruit: diarrhea medicine, diabetes, kidney pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00410","Eugenia cumini Herba","Java Plum","Jamblang","","Eugenia cumini Merr","Herb","Fruit: diarrhea medicine, diabetes, kidney pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00411","Eugenia cumini Semen","Java Plum","Jamblang","","Eugenia cumini Merr","Seed","Fruit: diarrhea medicine, diabetes, kidney pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00412","Eugenia polyantha Folium","-","Salam","","Eugenia polyantha Wight","Leaf","Leaf: diarrhea medicine, digestion, weak stomach.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00413","Eupatorium fortunei Herba","Pei Lan","Eupatorium","","Eupatorium fortunei Turcz.","Herb","Accumulation of damp in the spleen and stomach marked by stuffiness in the epigastrium, nausea, sweet taste and sticky sensation in the mouth, foul breath and salivation; affection by summer heat and damp marked by sensation of distension in the head and stuffiness in the chest.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00414","Euphorbia hirta Folium","Euphorbia","Patikan Kebo","","Euphorbia hirta L.","Leaf","Leaf: cough medicine, diuretic, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00415","Euphorbia hirta Herba","Euphorbia","Patikan Kebo","","Euphorbia hirta L.","Herb","Leaf: cough medicine, diuretic, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00416","Euphorbia prostata Herba","-","Krokot Cina","","Euphorbia prostata W. Ait","Herb","All plant: disenti drug, drug injury.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00417","Euphorbia thymifolia Herba","Xiao Fei Yang Cao (Caper Spurge, Petroleum Plant)","Patikan Cina","","Euphorbia thymifolia","Herb","Basiler dysentery, typhoid abdominal, enteritis, diarrhea, hemorrhoids / bleeding","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00418","Euphorbia tirucali Resin","Petroleum Plant","Kayu Urip","","Euphorbia tirucali L.","Sap","Sap: new injury, thorns.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00419","Eurycoma longifolia Radix","-","Pasak Bumi","","Eurycoma longifolia Jack.","Root","Root: aphrodisiac, wounds, ulcers and sores, gastric pains, reduce high blood pressure and fever, blood coagulant in complications during childbirth. Leaves: relieve stomach-ache.","","-","http://www.proseanet.org/prosea/e-prosea_detail.php?frt=&id=263"
"S00420","Evodia rutaecarpa Fructus","Evodia","Evodia","","Evodia rutaecarpa (Juss.) Benth.","Fruit","Headache accompanied by retching and cold limbs; abdominal colic; weakness and edema of the legs; abdominal pain during menstruation; epigastric distension and pain with vomiting and acid regurgitation; diarrhea occurring before dawn daily; hypertension. External use for ulcers in the mouth.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00421","Excoecaria bicolor Folium","-","Sambang Darah","","Excoecaria bicolor Hassk.","Leaf","Leaf: diarrhea medicine, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00422","Fagopyrum esculentum Herba","Buckwheat","Buckwheat","","Fagopyrum esculentum","Herb","Treat the symptoms of capillary and venous disorders (including bleeding, varicose veins, bruising, retinal hemorrhage, edema, hemorrhoids, bleeding gums and poor circulation).","","-","www.herbs2000.com"
"S00423","Ficus benjamina Folium","Banyan Tree","Beringin","","Ficus benjamina L.","Leaf","Leaf: sawanan pain medication in children.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00424","Ficus deltoidea Folium","-","Tabat Barito","","Ficus deltoidea Jack.","Leaf","Leaf: fluor albus.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00425","Ficus deltoidea Herba","-","Tabat Barito","","Ficus deltoidea Jack.","Herb","Leaf: fluor albus.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00426","Ficus deltoidea Semen","-","Tabat Barito","","Ficus deltoidea Jack.","Seed","Leaf: fluor albus.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00427","Ficus glabella Fructus","-","Iprih","","Ficus glabella Bl.","Fruit","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00428","Filipendula ulmaria Flos","Meadowsweet","Meadowsweet","","Filipendula ulmaria L. Maxim","Flower","Relieving excruciating pains owing to arthritis and rheumatic disorders, diminishing excessive acidity in stomach, cystitis (inflammation of the urinary bladder, often caused by infection), diarrhea, irritable bowel syndrome.","","-","www.herbs2000.com"
"S00429","Foeniculum vulgare Fructus","Fennel","Adas","","Foeniculum vulgare Mill.","Fruit","Aerophagia; Alactea; Amenorrhea; Andropause; Anorexia; Apnea; Asthma; Backache; Bacteria; Biliousness; Bite; Blepharosis; Body Odor; Bronchosis; Cancer; Cancer, breast; Cancer, diaphragm; Cancer, gum; Cancer, liver; Cancer, prostate; Cancer, spleen; Cancer, stomach; Cancer, throat; Cancer, uterus; Cancer, uvula; Catarrh; Cellulite; Childbirth; Cholera; Cold; Colic; Colitis; Condyloma; Conjunctivosis; Constipation; Cough; Cramp; Diarrhea; Dysentery; Dysmenorrhea; Dyspepsia; Dysuria; Earache; Enterosis; Enuresis; Fever; Flu; Flux; Frigidity; Fullness; Fungus; Gas; Gastrosis; Gonorrhea; Halitosis; Headache; Heart; Heartburn; Hepatosis; Hernia; Hiccup; IBS; Impotence; Induration; Infection; Inflammation; Jaundice; Leprosy; Leukemia; Menopause; Morning Sickness; Motion Sickness; Mycosis; Nausea; Nephrosis; Obesity; Oligolactea; Ophthalmia; Osteoporosis; Pain; Pharyngosis; Pulmonosis; Respirosis; Scirrhus; Side Ache; Snakebite; Sore; Spasm; Spermatorrhea; Splenosis; Stomachache; Stomatosis; Strangury; Swelling; VD; Tenesmus; Thirst; Toothache; Uterosis; Virility; Virus; Vomiting; Water Retention; Wen; Worm; Wound; Wrinkle","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00430","Foeniculum vulgare Oleum","Fennel","Adas","","Foeniculum vulgare Mill.","Oil","Aerophagia; Alactea; Amenorrhea; Andropause; Anorexia; Apnea; Asthma; Backache; Bacteria; Biliousness; Bite; Blepharosis; Body Odor; Bronchosis; Cancer; Cancer, breast; Cancer, diaphragm; Cancer, gum; Cancer, liver; Cancer, prostate; Cancer, spleen; Cancer, stomach; Cancer, throat; Cancer, uterus; Cancer, uvula; Catarrh; Cellulite; Childbirth; Cholera; Cold; Colic; Colitis; Condyloma; Conjunctivosis; Constipation; Cough; Cramp; Diarrhea; Dysentery; Dysmenorrhea; Dyspepsia; Dysuria; Earache; Enterosis; Enuresis; Fever; Flu; Flux; Frigidity; Fullness; Fungus; Gas; Gastrosis; Gonorrhea; Halitosis; Headache; Heart; Heartburn; Hepatosis; Hernia; Hiccup; IBS; Impotence; Induration; Infection; Inflammation; Jaundice; Leprosy; Leukemia; Menopause; Morning Sickness; Motion Sickness; Mycosis; Nausea; Nephrosis; Obesity; Oligolactea; Ophthalmia; Osteoporosis; Pain; Pharyngosis; Pulmonosis; Respirosis; Scirrhus; Side Ache; Snakebite; Sore; Spasm; Spermatorrhea; Splenosis; Stomachache; Stomatosis; Strangury; Swelling; VD; Tenesmus; Thirst; Toothache; Uterosis; Virility; Virus; Vomiting; Water Retention; Wen; Worm; Wound; Wrinkle","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00431","Foeniculum vulgare Semen","Fennel","Adas","","Foeniculum vulgare Mill.","Seed","Aerophagia; Alactea; Amenorrhea; Andropause; Anorexia; Apnea; Asthma; Backache; Bacteria; Biliousness; Bite; Blepharosis; Body Odor; Bronchosis; Cancer; Cancer, breast; Cancer, diaphragm; Cancer, gum; Cancer, liver; Cancer, prostate; Cancer, spleen; Cancer, stomach; Cancer, throat; Cancer, uterus; Cancer, uvula; Catarrh; Cellulite; Childbirth; Cholera; Cold; Colic; Colitis; Condyloma; Conjunctivosis; Constipation; Cough; Cramp; Diarrhea; Dysentery; Dysmenorrhea; Dyspepsia; Dysuria; Earache; Enterosis; Enuresis; Fever; Flu; Flux; Frigidity; Fullness; Fungus; Gas; Gastrosis; Gonorrhea; Halitosis; Headache; Heart; Heartburn; Hepatosis; Hernia; Hiccup; IBS; Impotence; Induration; Infection; Inflammation; Jaundice; Leprosy; Leukemia; Menopause; Morning Sickness; Motion Sickness; Mycosis; Nausea; Nephrosis; Obesity; Oligolactea; Ophthalmia; Osteoporosis; Pain; Pharyngosis; Pulmonosis; Respirosis; Scirrhus; Side Ache; Snakebite; Sore; Spasm; Spermatorrhea; Splenosis; Stomachache; Stomatosis; Strangury; Swelling; VD; Tenesmus; Thirst; Toothache; Uterosis; Virility; Virus; Vomiting; Water Retention; Wen; Worm; Wound; Wrinkle","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00432","Forsythia suspensa Fructus","Forsythia, Golden Bells","Forsythia","","Forsythia suspensa (Thunb.) Vahl","Fruit","Carbuncles, boils, lymphadenitis, mastitis, erysipelas; upper respiratory infection; febrile diseases at the early stage and at the stage with high fever, dire thirst, delirium and maculation; acute urinary infection with oliguria.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00433","Fragaria vesca Fructus","Strawberry","Strawberry","","Fragaria vesca","Fruit","Cure diarrhea and dysentery, cure disorders such as tuberculosis, arthritis, gout and rheumatism or joint pains.","","-","www.herbs2000.com"
"S00434","Fritillaria cirrhosa Bulbus","Chuan Bei Mu","Tendrilleaf Fritillary","","Fritillaria cirrhosa D. Don","Bulb","Dry cough due to heat in the lung; cough with bloody sputum in consumptive diseases.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
